cycle,SOH,resistance,T,c_rate,dod,condition,cond_id,RUL,grade_rule,cluster,grade_kmeans
500,0.8856357928771926,0.1082182755367143,15,0.5,0.7,T15_C0.5_D0.7,0,389.253603987239,一级梯次,2,一级梯次
500,0.8827490482728364,0.1087013702734538,15,0.5,1.0,T15_C0.5_D1.0,1,376.1320376038016,一级梯次,2,一级梯次
500,0.8737799235662137,0.1147751059412786,15,1.0,0.7,T15_C1.0_D0.7,2,335.3632889373348,一级梯次,2,一级梯次
500,0.8697208655310963,0.1162399681750488,15,1.0,1.0,T15_C1.0_D1.0,3,316.91302514134657,一级梯次,2,一级梯次
500,0.86352217375322,0.1243049216342229,15,1.5,0.7,T15_C1.5_D0.7,4,288.73715342372725,一级梯次,0,二级梯次
500,0.859837382275147,0.1228696065864725,15,1.5,1.0,T15_C1.5_D1.0,5,271.9881012506682,一级梯次,0,二级梯次
500,0.8565255112097104,0.1161784329121888,25,0.5,0.7,T25_C0.5_D0.7,6,256.93414186231996,一级梯次,2,一级梯次
500,0.860819082830615,0.1157691886051615,25,0.5,1.0,T25_C0.5_D1.0,7,276.4503765027954,一级梯次,2,一级梯次
500,0.8531625497370287,0.1238211453825804,25,1.0,0.7,T25_C1.0_D0.7,8,241.64795335013002,一级梯次,0,二级梯次
500,0.8472771848967071,0.1233463055626053,25,1.0,1.0,T25_C1.0_D1.0,9,214.8962949850321,二级梯次,0,二级梯次
500,0.8403102886286812,0.1312854893971413,25,1.5,0.7,T25_C1.5_D0.7,10,183.22858467582333,二级梯次,0,二级梯次
500,0.8402644736542679,0.1324242961307134,25,1.5,1.0,T25_C1.5_D1.0,11,183.02033479212673,二级梯次,0,二级梯次
500,0.8388839630315926,0.1235865043819634,35,0.5,0.7,T35_C0.5_D0.7,12,176.745286507239,二级梯次,0,二级梯次
500,0.8379464015582617,0.123369857499565,35,0.5,1.0,T35_C0.5_D1.0,13,172.48364344664398,二级梯次,0,二级梯次
500,0.8214913503544957,0.1330585413704584,35,1.0,0.7,T35_C1.0_D0.7,14,97.68795615679852,二级梯次,1,建议回收
500,0.8295609988065764,0.1314207061074499,35,1.0,1.0,T35_C1.0_D1.0,15,134.36817639352893,二级梯次,0,二级梯次
500,0.8139617953240824,0.1416149811022259,35,1.5,0.7,T35_C1.5_D0.7,16,63.46270601855623,二级梯次,1,建议回收
500,0.8162164565547035,0.1407081325175105,35,1.5,1.0,T35_C1.5_D1.0,17,73.71116615774316,二级梯次,1,建议回收
500,0.8121386130929082,0.1315162740936038,45,0.5,0.7,T45_C0.5_D0.7,18,55.17551405867364,二级梯次,1,建议回收
500,0.8174027479696575,0.1306544993580599,45,0.5,1.0,T45_C0.5_D1.0,19,79.10339986207937,二级梯次,1,建议回收
500,0.8078993099415956,0.1398348063589347,45,1.0,0.7,T45_C1.0_D0.7,20,35.90595427998,二级梯次,1,建议回收
500,0.8078501473784123,0.1400680373037784,45,1.0,1.0,T45_C1.0_D1.0,21,35.682488083692164,二级梯次,1,建议回收
500,0.8000343777119944,0.1498334228952309,45,1.5,0.7,T45_C1.5_D0.7,22,0.1562623272469396,二级梯次,1,建议回收
500,0.7968242179877316,0.151769652647113,45,1.5,1.0,T45_C1.5_D1.0,23,0.0,二级梯次,1,建议回收
