cycle,SOH,resistance,T,c_rate,dod,condition,cond_id,stage,RUL,grade,battery_id,soh_t,capacity_Ah,q_ref_Ah,ccct_min,cvct_min,ce,phase_label,knee_cycle,rul_cycles,is_eol,reached_eol,chemistry,cell_format,rated_capacity_Ah,nominal_voltage_V,discharge_rate_C,soc_window,charging_strategy,v_upper_V,v_lower_V,eol_threshold_pct,batch_id,is_abnormal,source_id,source_ref
2189,0.6999635574620866,0.1751365974520241,10,0.5,0.7,T10_C0.5_D0.7,0,失效临界,,,SIM-NCM-01-01,0.6999751278867962,3.482299229566108,3.482356792107218,47.48379968428151,48.30491697743942,0.9965844109700306,3,1564,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
2289,0.6989895417856958,0.1776428729237151,10,0.5,0.7,T10_C0.5_D0.7,1,失效临界,,,SIM-NCM-01-02,0.6999345702832588,3.506385026556992,3.511125632210488,47.66949454778195,49.41524857217622,0.9966568318158204,3,1747,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
2243,0.7002536455198735,0.1747162155312616,10,0.5,0.7,T10_C0.5_D0.7,2,失效临界,,,SIM-NCM-01-03,0.6998534550762022,3.4907508164878296,3.4887558749021146,48.8239655684684,48.05165122122171,0.996772932921146,3,1662,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
1684,0.6992416892270678,0.2316926818371594,10,0.5,0.8,T10_C0.5_D0.8,3,失效临界,,,SIM-NCM-02-01,0.6998367266719933,3.413443526302341,3.416348282619908,47.27725368088909,52.64475607437715,0.9966181459997367,3,1265,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
1627,0.6990754046684513,0.2350877152863347,10,0.5,0.8,T10_C0.5_D0.8,4,失效临界,,,SIM-NCM-02-02,0.6997551162116017,3.416040122079876,3.4193615404667,44.8931702871399,52.3386248163091,0.9972055496270374,3,1160,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
1701,0.6989524939196433,0.2431308738551047,10,0.5,0.8,T10_C0.5_D0.8,5,失效临界,,,SIM-NCM-02-03,0.6998095231851947,3.440728142178519,3.4449470336458305,49.05611850847814,53.73474033339831,0.9966021041285268,3,1296,0,True,True,NCM,21700,4.9,3.6,1.0,10-90,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
1296,0.6996051249849378,0.3020359266109564,10,0.5,0.9,T10_C0.5_D0.9,6,失效临界,,,SIM-NCM-03-01,0.6999513082772753,3.473865431663913,3.4755843930170007,44.9243996824462,53.20417383893387,0.9964896386767074,3,974,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
1262,0.7004646014023062,0.2955657361287873,10,0.5,0.9,T10_C0.5_D0.9,7,失效临界,,,SIM-NCM-03-02,0.6998103079522157,3.4382337721170573,3.4350221696571004,43.86445831253579,47.17855896624411,0.9968811471500292,3,911,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,3,False,SIM,Str24;Ver22;Sto19;SIM
1219,0.6990771987133739,0.3066270721303481,10,0.5,0.9,T10_C0.5_D0.9,8,失效临界,,,SIM-NCM-03-03,0.6999865583585354,3.418443114422318,3.4228898253481748,48.35635691735328,52.61292035232742,0.99637169296225,3,833,0,True,True,NCM,21700,4.9,3.6,1.0,5-95,CC-CV,4.2,2.5,70.0,1,False,SIM,Str24;Ver22;Sto19;SIM
1607,0.7014696335659939,0.1793136492839245,10,1.0,0.7,T10_C1.0_D0.7,9,失效临界,,,SIM-NCM-04-01,0.6998864844851053,3.447306499655746,3.4395262624860665,45.3970978323008,53.29032829488492,0.9963493770060484,3,1220,0,True,True,NCM,21700,4.9,3.6,1.0,15-85,CC-CV,4.2,2.5,70.0,2,False,SIM,Str24;Ver22;Sto19;SIM
