cond_id,condition,SOH,resistance,RUL,T,c_rate,dod,selected,cluster,grade,battery_id
0,T10_C0.5_D0.7,0.8382096677116778,0.100955480711832,625,10,0.5,0.7,0,0,二级梯次,SIM-NCM-01-01
1,T10_C0.5_D0.7,0.8199206581301838,0.1150507785610326,542,10,0.5,0.7,0,1,二级梯次,SIM-NCM-01-02
2,T10_C0.5_D0.7,0.830740934531007,0.1045270866320564,581,10,0.5,0.7,0,1,二级梯次,SIM-NCM-01-03
3,T10_C0.5_D0.8,0.8258230635801516,0.1388577655609882,419,10,0.5,0.8,0,1,二级梯次,SIM-NCM-02-01
4,T10_C0.5_D0.8,0.8392430418268967,0.1287312340322808,467,10,0.5,0.8,0,0,二级梯次,SIM-NCM-02-02
5,T10_C0.5_D0.8,0.8212541383104871,0.1438427416871605,405,10,0.5,0.8,0,1,二级梯次,SIM-NCM-02-03
6,T10_C0.5_D0.9,0.8247423326742195,0.1752161001383009,322,10,0.5,0.9,0,1,二级梯次,SIM-NCM-03-01
7,T10_C0.5_D0.9,0.835231951784688,0.1672561027917823,351,10,0.5,0.9,0,1,二级梯次,SIM-NCM-03-02
8,T10_C0.5_D0.9,0.8491214480462068,0.1546920739470177,386,10,0.5,0.9,0,0,二级梯次,SIM-NCM-03-03
9,T10_C1.0_D0.7,0.8209246076537188,0.1073789618138207,387,10,1.0,0.7,0,1,二级梯次,SIM-NCM-04-01
10,T10_C1.0_D0.7,0.8512166669883925,0.0967072042152848,474,10,1.0,0.7,1,0,一级梯次,SIM-NCM-04-02
11,T10_C1.0_D0.7,0.8261845303422759,0.1097383335055372,404,10,1.0,0.7,0,1,二级梯次,SIM-NCM-04-03
12,T10_C1.0_D0.8,0.8359682069173597,0.1331778810965862,321,10,1.0,0.8,0,0,二级梯次,SIM-NCM-05-01
13,T10_C1.0_D0.8,0.8438647616130226,0.1314206134787251,335,10,1.0,0.8,0,0,二级梯次,SIM-NCM-05-02
14,T10_C1.0_D0.8,0.8278778168910388,0.1352990884990706,300,10,1.0,0.8,0,1,二级梯次,SIM-NCM-05-03
15,T10_C1.0_D0.9,0.8447908234920076,0.1591335012702563,263,10,1.0,0.9,0,0,二级梯次,SIM-NCM-06-01
