battery_id,cycle,soh,freq_Hz,z_real_ohm,z_imag_ohm
SIM-LCO-37-01,181,0.9502,10.0,0.186622,-0.012104
SIM-LCO-37-01,181,0.9502,20.0,0.187214,-0.013926
SIM-LCO-37-01,181,0.9502,50.0,0.185105,-0.013261
SIM-LCO-37-01,181,0.9502,100.0,0.186372,-0.015632
SIM-LCO-37-01,181,0.9502,200.0,0.184926,-0.015186
SIM-LCO-37-01,181,0.9502,500.0,0.186593,-0.017982
SIM-LCO-37-01,181,0.9502,1000.0,0.188617,-0.019813
SIM-LCO-37-01,181,0.9502,2000.0,0.184104,-0.020226
SIM-LCO-37-01,181,0.9502,5000.0,0.190487,-0.02158
SIM-LCO-37-01,181,0.9502,10000.0,0.18537,-0.026873
SIM-LCO-37-01,395,0.9001,10.0,0.22029,-0.012623
SIM-LCO-37-01,395,0.9001,20.0,0.222541,-0.013476
SIM-LCO-37-01,395,0.9001,50.0,0.219611,-0.015007
SIM-LCO-37-01,395,0.9001,100.0,0.221244,-0.015806
SIM-LCO-37-01,395,0.9001,200.0,0.221644,-0.016269
SIM-LCO-37-01,395,0.9001,500.0,0.22756,-0.019168
SIM-LCO-37-01,395,0.9001,1000.0,0.223833,-0.019811
SIM-LCO-37-01,395,0.9001,2000.0,0.224355,-0.022593
SIM-LCO-37-01,395,0.9001,5000.0,0.220882,-0.024299
SIM-LCO-37-01,395,0.9001,10000.0,0.219656,-0.024123
SIM-LCO-37-01,597,0.8499,10.0,0.260813,-0.012774
SIM-LCO-37-01,597,0.8499,20.0,0.256536,-0.013694
SIM-LCO-37-01,597,0.8499,50.0,0.265274,-0.016163
SIM-LCO-37-01,597,0.8499,100.0,0.262844,-0.017077
SIM-LCO-37-01,597,0.8499,200.0,0.263341,-0.018317
SIM-LCO-37-01,597,0.8499,500.0,0.264741,-0.019852
SIM-LCO-37-01,597,0.8499,1000.0,0.260559,-0.022595
SIM-LCO-37-01,597,0.8499,2000.0,0.262264,-0.023077
SIM-LCO-37-01,597,0.8499,5000.0,0.257156,-0.023063
SIM-LCO-37-01,597,0.8499,10000.0,0.262762,-0.023716
SIM-LCO-37-01,710,0.7999,10.0,0.299418,-0.011552
SIM-LCO-37-01,710,0.7999,20.0,0.305544,-0.014712
SIM-LCO-37-01,710,0.7999,50.0,0.303694,-0.016717
SIM-LCO-37-01,710,0.7999,100.0,0.299265,-0.015387
SIM-LCO-37-01,710,0.7999,200.0,0.301685,-0.018445
SIM-LCO-37-01,710,0.7999,500.0,0.302954,-0.021116
SIM-LCO-37-01,710,0.7999,1000.0,0.30318,-0.022655
SIM-LCO-37-01,710,0.7999,2000.0,0.30684,-0.023715
SIM-LCO-37-01,710,0.7999,5000.0,0.304879,-0.025174
SIM-LCO-37-01,710,0.7999,10000.0,0.303661,-0.025732
SIM-LCO-37-01,801,0.7501,10.0,0.341305,-0.013707
SIM-LCO-37-01,801,0.7501,20.0,0.33896,-0.014026
SIM-LCO-37-01,801,0.7501,50.0,0.346334,-0.01409
SIM-LCO-37-01,801,0.7501,100.0,0.342172,-0.017452
SIM-LCO-37-01,801,0.7501,200.0,0.345006,-0.019269
SIM-LCO-37-01,801,0.7501,500.0,0.344957,-0.018747
SIM-LCO-37-01,801,0.7501,1000.0,0.345642,-0.021497
SIM-LCO-37-01,801,0.7501,2000.0,0.334208,-0.02406
SIM-LCO-37-01,801,0.7501,5000.0,0.340566,-0.022955
SIM-LCO-37-01,801,0.7501,10000.0,0.343783,-0.026703
SIM-LCO-37-01,891,0.7001,10.0,0.369022,-0.013125
SIM-LCO-37-01,891,0.7001,20.0,0.38121,-0.014726
SIM-LCO-37-01,891,0.7001,50.0,0.377153,-0.015217
SIM-LCO-37-01,891,0.7001,100.0,0.371123,-0.016571
SIM-LCO-37-01,891,0.7001,200.0,0.375501,-0.019406
SIM-LCO-37-01,891,0.7001,500.0,0.371645,-0.019127
SIM-LCO-37-01,891,0.7001,1000.0,0.372772,-0.021605
SIM-LCO-37-01,891,0.7001,2000.0,0.37073,-0.024259
SIM-LCO-37-01,891,0.7001,5000.0,0.377144,-0.025356
SIM-LCO-37-01,891,0.7001,10000.0,0.378784,-0.027061
SIM-LCO-37-02,179,0.9499,10.0,0.190553,-0.011266
SIM-LCO-37-02,179,0.9499,20.0,0.190253,-0.013392
SIM-LCO-37-02,179,0.9499,50.0,0.187967,-0.015707
SIM-LCO-37-02,179,0.9499,100.0,0.190078,-0.01729
SIM-LCO-37-02,179,0.9499,200.0,0.192581,-0.017185
SIM-LCO-37-02,179,0.9499,500.0,0.190168,-0.019351
SIM-LCO-37-02,179,0.9499,1000.0,0.190684,-0.020897
SIM-LCO-37-02,179,0.9499,2000.0,0.189626,-0.022599
SIM-LCO-37-02,179,0.9499,5000.0,0.185034,-0.022295
SIM-LCO-37-02,179,0.9499,10000.0,0.186122,-0.024277
SIM-LCO-37-02,382,0.8999,10.0,0.228233,-0.013606
SIM-LCO-37-02,382,0.8999,20.0,0.230147,-0.012341
SIM-LCO-37-02,382,0.8999,50.0,0.232683,-0.016117
SIM-LCO-37-02,382,0.8999,100.0,0.230506,-0.017317
SIM-LCO-37-02,382,0.8999,200.0,0.227522,-0.01598
SIM-LCO-37-02,382,0.8999,500.0,0.229407,-0.018879
SIM-LCO-37-02,382,0.8999,1000.0,0.228131,-0.019578
SIM-LCO-37-02,382,0.8999,2000.0,0.226494,-0.022828
SIM-LCO-37-02,382,0.8999,5000.0,0.228114,-0.022192
SIM-LCO-37-02,382,0.8999,10000.0,0.227574,-0.024617
SIM-LCO-37-02,576,0.85,10.0,0.25541,-0.014495
SIM-LCO-37-02,576,0.85,20.0,0.262225,-0.012119
SIM-LCO-37-02,576,0.85,50.0,0.258906,-0.014704
SIM-LCO-37-02,576,0.85,100.0,0.259302,-0.01645
SIM-LCO-37-02,576,0.85,200.0,0.259627,-0.016218
SIM-LCO-37-02,576,0.85,500.0,0.255592,-0.018751
SIM-LCO-37-02,576,0.85,1000.0,0.256341,-0.022635
SIM-LCO-37-02,576,0.85,2000.0,0.256109,-0.022889
SIM-LCO-37-02,576,0.85,5000.0,0.259883,-0.023614
SIM-LCO-37-02,576,0.85,10000.0,0.25336,-0.025459
SIM-LCO-37-02,732,0.7999,10.0,0.305168,-0.013603
SIM-LCO-37-02,732,0.7999,20.0,0.303622,-0.015283
SIM-LCO-37-02,732,0.7999,50.0,0.30301,-0.013401
SIM-LCO-37-02,732,0.7999,100.0,0.297083,-0.015165
SIM-LCO-37-02,732,0.7999,200.0,0.302733,-0.017165
SIM-LCO-37-02,732,0.7999,500.0,0.30174,-0.019801
SIM-LCO-37-02,732,0.7999,1000.0,0.299188,-0.020134
SIM-LCO-37-02,732,0.7999,2000.0,0.296622,-0.022171
SIM-LCO-37-02,732,0.7999,5000.0,0.30411,-0.023691
SIM-LCO-37-02,732,0.7999,10000.0,0.302998,-0.025543
SIM-LCO-37-02,824,0.7499,10.0,0.342901,-0.011644
SIM-LCO-37-02,824,0.7499,20.0,0.341989,-0.014162
SIM-LCO-37-02,824,0.7499,50.0,0.344148,-0.016027
SIM-LCO-37-02,824,0.7499,100.0,0.339409,-0.016308
SIM-LCO-37-02,824,0.7499,200.0,0.346738,-0.017516
SIM-LCO-37-02,824,0.7499,500.0,0.341165,-0.020274
SIM-LCO-37-02,824,0.7499,1000.0,0.339502,-0.021237
SIM-LCO-37-02,824,0.7499,2000.0,0.33924,-0.023513
SIM-LCO-37-02,824,0.7499,5000.0,0.348607,-0.02391
SIM-LCO-37-02,824,0.7499,10000.0,0.339391,-0.026638
SIM-LCO-37-02,914,0.7003,10.0,0.377319,-0.013006
SIM-LCO-37-02,914,0.7003,20.0,0.38295,-0.01506
SIM-LCO-37-02,914,0.7003,50.0,0.379767,-0.014839
SIM-LCO-37-02,914,0.7003,100.0,0.372543,-0.017295
SIM-LCO-37-02,914,0.7003,200.0,0.37639,-0.018159
SIM-LCO-37-02,914,0.7003,500.0,0.377543,-0.021693
SIM-LCO-37-02,914,0.7003,1000.0,0.382825,-0.022074
SIM-LCO-37-02,914,0.7003,2000.0,0.374624,-0.023098
SIM-LCO-37-02,914,0.7003,5000.0,0.383758,-0.023406
SIM-LCO-37-02,914,0.7003,10000.0,0.379299,-0.026303
SIM-LCO-37-03,184,0.9497,10.0,0.189251,-0.01296
SIM-LCO-37-03,184,0.9497,20.0,0.186181,-0.013267
SIM-LCO-37-03,184,0.9497,50.0,0.185311,-0.01461
SIM-LCO-37-03,184,0.9497,100.0,0.185915,-0.015425
SIM-LCO-37-03,184,0.9497,200.0,0.183327,-0.017785
SIM-LCO-37-03,184,0.9497,500.0,0.18832,-0.020137
SIM-LCO-37-03,184,0.9497,1000.0,0.181953,-0.021942
SIM-LCO-37-03,184,0.9497,2000.0,0.187049,-0.022383
SIM-LCO-37-03,184,0.9497,5000.0,0.190088,-0.025197
SIM-LCO-37-03,184,0.9497,10000.0,0.186073,-0.025316
SIM-LCO-37-03,381,0.9,10.0,0.228279,-0.011177
SIM-LCO-37-03,381,0.9,20.0,0.228479,-0.013221
SIM-LCO-37-03,381,0.9,50.0,0.228669,-0.0163
SIM-LCO-37-03,381,0.9,100.0,0.224402,-0.01484
SIM-LCO-37-03,381,0.9,200.0,0.227686,-0.016397
SIM-LCO-37-03,381,0.9,500.0,0.230224,-0.019764
SIM-LCO-37-03,381,0.9,1000.0,0.226137,-0.022375
SIM-LCO-37-03,381,0.9,2000.0,0.225976,-0.021885
SIM-LCO-37-03,381,0.9,5000.0,0.227218,-0.021832
SIM-LCO-37-03,381,0.9,10000.0,0.227327,-0.024915
SIM-LCO-37-03,585,0.85,10.0,0.274766,-0.012128
SIM-LCO-37-03,585,0.85,20.0,0.268836,-0.013365
SIM-LCO-37-03,585,0.85,50.0,0.267384,-0.015872
SIM-LCO-37-03,585,0.85,100.0,0.267357,-0.018396
SIM-LCO-37-03,585,0.85,200.0,0.271938,-0.018482
SIM-LCO-37-03,585,0.85,500.0,0.26884,-0.019789
SIM-LCO-37-03,585,0.85,1000.0,0.270442,-0.022518
SIM-LCO-37-03,585,0.85,2000.0,0.266516,-0.022665
SIM-LCO-37-03,585,0.85,5000.0,0.269535,-0.023838
SIM-LCO-37-03,585,0.85,10000.0,0.267925,-0.024175
SIM-LCO-37-03,710,0.7998,10.0,0.302347,-0.011469
SIM-LCO-37-03,710,0.7998,20.0,0.302278,-0.014731
SIM-LCO-37-03,710,0.7998,50.0,0.305723,-0.015986
SIM-LCO-37-03,710,0.7998,100.0,0.302704,-0.018148
SIM-LCO-37-03,710,0.7998,200.0,0.296893,-0.017466
SIM-LCO-37-03,710,0.7998,500.0,0.304169,-0.020374
SIM-LCO-37-03,710,0.7998,1000.0,0.301946,-0.021325
SIM-LCO-37-03,710,0.7998,2000.0,0.300362,-0.023502
SIM-LCO-37-03,710,0.7998,5000.0,0.308445,-0.023485
