cycle,SOH,resistance,T,c_rate,dod,condition,cond_id,RUL,grade_rule,cluster,grade_kmeans
500,0.8856357928771926,0.1082182755367143,15,0.5,0.7,T15_C0.5_D0.7,0,389.253603987239,一级梯次,2,一级梯次
500,0.8827490482728364,0.1087013702734538,15,0.5,1.0,T15_C0.5_D1.0,1,376.1320376038016,一级梯次,2,一级梯次
500,0.8737799235662137,0.1147751059412786,15,1.0,0.7,T15_C1.0_D0.7,2,335.3632889373348,一级梯次,2,一级梯次
500,0.8697208655310963,0.1162399681750488,15,1.0,1.0,T15_C1.0_D1.0,3,316.91302514134657,一级梯次,2,一级梯次
500,0.86352217375322,0.1243049216342229,15,1.5,0.7,T15_C1.5_D0.7,4,288.73715342372725,一级梯次,0,二级梯次
500,0.860819082830615,0.1157691886051615,25,0.5,1.0,T25_C0.5_D1.0,7,276.4503765027954,一级梯次,2,一级梯次
500,0.859837382275147,0.1228696065864725,15,1.5,1.0,T15_C1.5_D1.0,5,271.9881012506682,一级梯次,0,二级梯次
500,0.8565255112097104,0.1161784329121888,25,0.5,0.7,T25_C0.5_D0.7,6,256.93414186231996,一级梯次,2,一级梯次
500,0.8531625497370287,0.1238211453825804,25,1.0,0.7,T25_C1.0_D0.7,8,241.64795335013002,一级梯次,0,二级梯次
500,0.8472771848967071,0.1233463055626053,25,1.0,1.0,T25_C1.0_D1.0,9,214.8962949850321,二级梯次,0,二级梯次
